term,home_ownership,purpose,verification_status,loan_status,loan_amnt,funded_amnt,funded_amnt_inv,annual_inc,int_rate,installment,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_amnt,repay_fail
60 months,MORTGAGE,major_purchase,Not Verified,Fully Paid,10000,9550,9418.065777,75000,10.75,206.46,7.97,0,3,10,0,11471,39,11652.6081,11478.75,9550,2102.61,5463.99,0
36 months,OWN,debt_consolidation,Not Verified,Fully Paid,12000,12000,11955.05929,31000,12.73,402.77,16.57,0,0,5,0,12561,5,14501.22566,14439.49,12000,2501.23,466.45,0
60 months,MORTGAGE,credit_card,Verified,Current,NA,NA,NA,NA,100.99,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
60 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,19250,19250,19250,65004,14.79,455.84,8.79,0,1,6,0,17606,16,26715.93,26715.93,19250,7465.93,56.73,0
60 months,MORTGAGE,car,Verified,Fully Paid,11000,11000,10975,48000,10.37,235.73,21.38,0,0,5,0,2598,16,14068.66001,14036.69,11000,3068.66,2310.28,0
36 months,RENT,credit_card,Verified,Fully Paid,6000,6000,6000,41196,14.54,206.65,23.24,0,1,11,0,4755,18,7441.761269,7441.76,6000,1441.76,217.67,0
36 months,OWN,debt_consolidation,Verified,Fully Paid,16000,16000,16000,52000,10.99,523.75,24,0,1,17,0,16582,43,18779.64573,18779.65,16000,2779.65,2728.64,0
36 months,RENT,major_purchase,Source Verified,Fully Paid,8000,8000,7900,19200,7.66,249.44,1.25,0,0,3,0,351,4,8936.899904,8825.19,8000,936.9,1991.79,0
60 months,MORTGAGE,other,Source Verified,Charged Off,30000,30000,30000,82000,11.71,662.95,0.22,0,0,6,0,518,14,9943.49,9943.49,5940.22,3989.63,662.95,1
36 months,RENT,small_business,Not Verified,Fully Paid,3500,3500,3500,60000,5.42,105.56,14.1,0,0,8,0,809,16,3800.487597,3800.49,3500,300.49,114.82,0
36 months,MORTGAGE,home_improvement,Not Verified,Fully Paid,6400,6400,5400,67807,7.14,198.02,9.43,0,0,5,0,1113,20,7096.003486,5987.25,6400,696,1562.45,0
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,13800,13800,13800,105000,7.66,430.29,21.15,0,2,10,0,8783,20,15393.6719,15393.67,13800,1593.67,3809.25,0
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,15000,15000,15000,63830,17.99,542.22,21.04,0,3,13,0,5613,25,18087.37267,18087.37,15000,3087.37,7723.26,0
36 months,OWN,debt_consolidation,Verified,Fully Paid,1275,1275,1275,20400,15.23,44.35,24.59,0,2,7,0,6032,7,1596.239355,1596.24,1275,321.24,52.73,0
36 months,RENT,car,Source Verified,Does not meet the credit policy. Status:Fully Paid,6500,6500,6500,40000,14.72,224.44,0.93,0,4,4,0,942,8,8080.346877,8080.35,6500,1580.35,240.17,0
36 months,OWN,small_business,Not Verified,Fully Paid,1800,1800,1800,29184,5.42,54.29,23.68,0,2,7,0,30037,24,1947.208326,1947.21,1800,147.21,49.34,0
60 months,RENT,other,Verified,Fully Paid,11200,11200,11025,75000,22.06,309.72,22.9,0,0,28,0,12249,57,18315.30005,18029.12,11200,7115.3,3139.02,0
60 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,25000,25000,24475,60106,12.99,568.7,25.18,0,0,18,0,30218,31,33147.75,32451.65,25000,8147.75,9892.57,0
36 months,MORTGAGE,credit_card,Verified,Does not meet the credit policy. Status:Fully Paid,13000,13000,13000,264000,12.53,435.07,10.06,0,1,15,0,229908,34,15662.17906,15662.18,13000,2662.18,448.3,0
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,20000,20000,14665.04331,120000,13.79,681.51,15,2,1,21,0,24911,41,24042.21383,16791.12,19999.99,4042.22,7690.82,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,10000,10000,10000,28000,5.42,301.6,12.69,0,0,13,0,13349,35,10857.53439,10857.53,10000,857.53,308.87,0
36 months,RENT,major_purchase,Not Verified,Fully Paid,5000,5000,700,48000,8.7,158.31,0.38,1,2,7,0,498,25,5698.810312,797.83,5000,698.81,159.37,0
36 months,RENT,car,Source Verified,Fully Paid,2000,2000,2000,22800,8.49,63.13,3.16,0,3,7,0,1139,18,2060.182535,2060.18,2000,60.18,1010.28,0
36 months,RENT,debt_consolidation,Verified,Fully Paid,10000,10000,9950,64000,15.27,347.98,3.64,0,3,3,1,6565,10,12527.15,12464.51,10000,2527.15,371.66,0
36 months,MORTGAGE,major_purchase,Not Verified,Does not meet the credit policy. Status:Fully Paid,2400,2400,1850,27000,10.46,77.97,19.29,0,2,3,0,1364,4,2806.524715,2163.36,2400,406.52,79.27,0
36 months,RENT,wedding,Not Verified,Fully Paid,10000,10000,10000,99000,7.29,310.1,2.25,0,0,4,0,1540,11,11163.54473,11163.54,10000,1163.54,333.65,0
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,14825,14825,14825,75000,12.69,497.31,18.53,1,1,16,0,23932,22,17721.13758,17721.14,14825,2896.14,4320.74,0
36 months,MORTGAGE,other,Not Verified,Fully Paid,4000,4000,4000,40000,10.99,130.94,12.27,0,0,8,0,12341,15,4696.064507,4696.06,4000,696.06,788.64,0
36 months,RENT,debt_consolidation,Verified,Fully Paid,29550,29550,29550,148616,8.9,938.31,22.86,0,0,8,0,21970,24,33635.75922,33635.76,29550,4085.76,6432.53,0
36 months,RENT,credit_card,Not Verified,Fully Paid,1375,1375,875,37500,6.91,42.4,12.03,0,0,5,0,6768,6,1432.734627,911.75,1375,57.73,1136.31,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,4400,4400,4400,95000,7.9,137.68,1.09,0,0,5,0,2813,15,4956.363334,4956.36,4400,556.36,144.26,0
36 months,MORTGAGE,debt_consolidation,Verified,Does not meet the credit policy. Status:Charged Off,15000,15000,14900,54000,15.95,526.99,9.13,0,4,11,0,14440,19,6321.72,6279.44,4090.78,2230.94,550.97,1
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,6000,6000,6000,65004,7.29,186.06,12.55,1,0,13,0,1694,30,6449.782699,6449.78,6000,449.78,362.73,0
60 months,OWN,small_business,Verified,Charged Off,25000,15975,15875,1.00E+05,13.72,369.4,21.1,0,0,6,0,17557,32,5189.78,5157.25,2810.31,2347.6,369.4,1
36 months,MORTGAGE,medical,Verified,Charged Off,3500,3500,3500,96000,14.84,121.06,20.4,1,1,7,0,13537,31,1567.02,1567.02,1084.95,482.07,121.06,1
36 months,MORTGAGE,home_improvement,Not Verified,Fully Paid,2525,2525,1000,40000,13.12,85.23,20.67,1,3,13,0,17641,24,3068.020133,1215.06,2525,543.02,89.89,0
36 months,RENT,home_improvement,Not Verified,Charged Off,25000,25000,2550.009713,75000,13.75,851.41,19.78,0,2,8,0,12308,12,7661.88,781.02,5323.38,2338.5,851.41,1
60 months,RENT,credit_card,Not Verified,Charged Off,14000,14000,14000,42744,20.25,372.87,20.58,0,1,19,0,17735,53,14149.35,14149.35,6423.87,6578.88,372.87,1
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,6500,6500,300,55000,11.03,212.9,11.76,1,1,7,0,6565,12,7517.872492,346.98,6500,1017.87,2.16,0
60 months,MORTGAGE,car,Source Verified,Fully Paid,2800,2800,2800,61200,10.74,60.52,20.2,0,0,10,0,18965,20,3544.512784,3544.51,2800,744.51,783,0
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,21600,21600,21550,280000,12.99,727.69,6.12,1,1,7,0,53936,16,26240.80999,26180.07,21600,4604.43,782.89,0
36 months,RENT,major_purchase,Source Verified,Fully Paid,2200,2200,2040.335649,12000,13.23,74.38,4.8,1,0,6,0,2781,13,2398.909196,2220.51,2200,198.91,259.28,0
36 months,MORTGAGE,medical,Not Verified,Charged Off,3600,3600,3600,60000,12.69,120.77,19,0,3,10,1,1104,17,3612.83,3612.83,2785.13,711.48,120.77,1
36 months,RENT,debt_consolidation,Verified,Fully Paid,25000,25000,24750,92000,12.69,838.63,19.06,0,0,13,0,27367,22,30190.27801,29888.38,25000,5190.28,862.05,0
36 months,RENT,debt_consolidation,Not Verified,Charged Off,10000,10000,2390.793609,40000,13.79,340.76,21.63,0,3,13,1,15615,19,3200.67,991.42,2119.43,1047.16,101.18,1
60 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,20050,20050,20000,63000,11.49,440.86,24.34,0,1,6,0,38186,24,25918.83001,25854.19,20050,5868.83,6981.44,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,18000,18000,17825,101500,12.18,599.4,9.28,0,0,6,1,10433,27,20390.84599,20192.6,18000,2390.85,11412.43,0
36 months,RENT,debt_consolidation,Verified,Fully Paid,11800,11800,11675,94000,13.99,403.24,4.6,0,1,10,0,2935,41,14516.58325,14362.81,11800,2716.58,437.49,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,5500,5500,5475,45000,6.92,169.63,16.83,0,0,10,0,4241,20,6007.201116,5979.89,5500,507.2,2447.8,0
36 months,MORTGAGE,debt_consolidation,Source Verified,Fully Paid,4000,4000,3975,80000,7.51,124.45,21.27,1,0,15,0,8264,31,4410.349929,4382.79,4000,410.35,61.75,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,4800,4800,4300,26085.36,13.35,162.55,14.72,0,0,3,0,5557,4,5850.280966,5240.88,4800,1050.28,343.49,0
36 months,RENT,other,Verified,Fully Paid,3000,3000,3000,108000,11.36,98.74,18.04,0,0,24,0,24434,61,3553.737028,3553.74,3000,553.74,202.95,0
60 months,MORTGAGE,car,Verified,Charged Off,5200,5200,5200,72000,15.23,124.34,10.83,0,1,7,0,27997,12,3214.88,3214.88,548.55,562.41,124.34,1
60 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,21000,21000,20975,90000,15.23,502.13,14.97,0,1,10,0,11071,28,29745.38003,29709.97,21000,8745.38,3386.75,0
36 months,RENT,other,Not Verified,Charged Off,8000,8000,8000,88500,14.26,274.45,11.61,0,0,13,0,15514,38,5783.23,5783.23,4003.04,1473.71,274.45,1
36 months,MORTGAGE,credit_card,Not Verified,Does not meet the credit policy. Status:Fully Paid,1800,1800,1700,123000,10.71,58.69,11.55,0,6,13,0,15853,36,1876.53091,1772.27,1800,76.53,1642.16,0
36 months,MORTGAGE,other,Source Verified,Fully Paid,6000,6000,5950,52000,9.32,191.69,12.48,0,0,12,0,9608,24,6442.007726,6388.32,6000,442.01,4425.63,0
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,5000,5000,5000,45000,7.88,156.41,4.88,0,2,8,0,6621,10,5540.128901,5540.13,5000,540.13,2100.26,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,12000,12000,12000,110000,7.88,375.38,7.04,0,0,7,0,10667,16,13513.99628,13514,12000,1514,390.96,0
60 months,RENT,home_improvement,Source Verified,Fully Paid,5000,5000,4975,72000,18.3,127.79,2.33,0,0,6,0,6610,8,5991.423678,5961.47,5000,991.42,4332.85,0
36 months,OWN,home_improvement,Verified,Fully Paid,25000,25000,9350,3.00E+05,14.42,859.57,1.48,1,2,9,0,28367,15,29647.06479,11095.43,25000,4647.06,13333.04,0
36 months,RENT,small_business,Not Verified,Fully Paid,20000,20000,18811.2853,60000,15.65,699.73,20.74,0,3,5,0,24030,11,25191.35212,23632.88,19999.99,5191.36,725.31,0
36 months,RENT,vacation,Source Verified,Fully Paid,1500,1500,1500,80000,10.74,48.93,21.64,0,1,5,0,35627,20,1654.441353,1654.44,1500,154.44,232,0
36 months,MORTGAGE,home_improvement,Verified,Charged Off,15250,15250,15100,52000,12.53,510.37,10.96,0,0,12,0,2652,23,6141.81,6081.42,4446.75,1669.55,1556.63,1
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,20000,20000,19925,79000,13.72,680.84,14.16,0,1,14,0,7852,34,22838.5867,22752.94,20000,2838.59,10632.44,0
36 months,OWN,debt_consolidation,Not Verified,Fully Paid,10000,10000,9875,150000,8.59,316.11,4.14,0,2,19,0,82445,32,10865.4734,10729.65,10000,865.47,6142.09,0
36 months,MORTGAGE,home_improvement,Not Verified,Fully Paid,4000,4000,4000,90000,5.42,120.64,6.15,0,0,6,0,1165,25,4131.491465,4131.49,4000,131.49,3289.49,0
36 months,MORTGAGE,debt_consolidation,Source Verified,Fully Paid,13000,13000,13000,60000,8.9,412.8,18.53,0,2,18,0,10988,30,14752.93322,14752.93,13000,1752.93,3610.3,0
36 months,RENT,debt_consolidation,Verified,Fully Paid,14400,14400,14325,81380,10.37,467.16,9.36,0,0,10,0,19977,17,16094.49074,16010.67,14400,1694.49,363.32,0
36 months,MORTGAGE,other,Verified,Fully Paid,25000,16000,12362.34,1.00E+05,10.75,521.93,8.7,0,1,15,0,22638,33,16808.67823,12967.4,16000,808.68,14204.86,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,3600,3600,3600,24216,16.49,127.44,23.59,0,1,7,0,5595,11,3836.573687,3836.57,3600,236.57,3328.24,0
36 months,RENT,debt_consolidation,Verified,Fully Paid,20000,20000,20000,75000,17.14,714.45,18.03,0,0,8,0,22402,12,24590.26334,24590.26,20000,4590.26,10324.48,0
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,10000,10000,10000,42000,12.42,334.16,23.71,0,0,7,0,9784,19,11638.07916,11638.08,10000,1638.08,4963.14,0
36 months,RENT,debt_consolidation,Source Verified,Charged Off,12000,12000,12000,83000,7.51,373.33,8.36,0,1,9,0,18692,36,3531.72,3531.72,2435.23,547.09,373.33,1
60 months,RENT,debt_consolidation,Source Verified,Fully Paid,5000,5000,4975,32000,16.45,122.79,16.88,1,1,9,0,2919,16,5203.557983,5177.54,5000,203.56,4959.31,0
36 months,OWN,other,Verified,Fully Paid,3800,3800,3800,90000,6.03,115.66,21.32,0,0,7,0,0,28,4104.259128,4104.26,3800,304.26,1676.62,0
36 months,OWN,other,Not Verified,Charged Off,1500,1500,1500,48000,13.48,50.89,0.63,0,1,2,0,238,4,284.6,284.6,127.84,64.94,70,1
36 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,12000,12000,11975,35088,8.94,381.26,11.01,0,0,7,0,13819,18,13725.25003,13696.66,12000,1725.25,409.42,0
60 months,MORTGAGE,car,Not Verified,Fully Paid,5000,5000,5000,61200,7.29,99.7,4.92,0,0,12,0,8486,28,5981.389324,5981.39,5000,981.39,99.08,0
60 months,RENT,debt_consolidation,Verified,Charged Off,26000,26000,25975,49000,12.69,587.47,21.92,0,0,15,0,27828,24,23514.32,23491.81,15442.23,8042.19,602.99,1
60 months,RENT,debt_consolidation,Verified,Fully Paid,16250,16250,16225,63600,11.49,357.3,29.36,0,4,10,0,13049,37,21292.11998,21259.36,16250,5042.12,3449.94,0
60 months,MORTGAGE,medical,Verified,Fully Paid,25000,25000,24975,85000,12.98,568.58,17,0,0,10,0,91266,18,34114.04,34079.93,25000,9114.04,567.82,0
36 months,RENT,educational,Not Verified,Does not meet the credit policy. Status:Fully Paid,1200,1200,550,4000,10.28,38.88,8.1,0,1,3,0,900,3,1399.520086,641.45,1200,199.52,39.73,0
60 months,MORTGAGE,small_business,Verified,Charged Off,35000,35000,34975,53000,18.39,896.22,10.19,0,0,9,0,36328,20,30469.08,30447.32,15598.65,14870.43,496.22,1
36 months,MORTGAGE,credit_card,Verified,Fully Paid,11400,3400,2590.04,63000,13.79,115.86,20.11,0,1,11,0,18212,37,4162.970989,3062.49,3399.99,762.98,457.8,0
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,13000,13000,12950,37000,7.88,406.66,19.39,0,0,10,0,14033,15,14640.35377,14584.04,13000,1640.35,425.06,0
60 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,12600,12600,12325,55172,10.65,271.77,19.36,0,0,22,0,23020,59,13038.8101,12754.23,12600,438.81,17.03,0
36 months,RENT,credit_card,Not Verified,Charged Off,12800,12800,12800,38000,12.42,427.72,22.58,0,2,7,0,7829,14,11334.69,11334.69,8357.55,2318.62,427.72,1
36 months,MORTGAGE,credit_card,Not Verified,Fully Paid,10000,10000,9975,156000,13.22,338.01,14.57,2,1,10,0,4027,31,12157.35616,12126.96,10000,2157.36,1019.59,0
60 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,7000,7000,7000,50000,15.57,168.64,20.28,0,0,8,0,8067,13,8808.739093,8808.74,6999.99,1808.75,5104.99,0
60 months,MORTGAGE,home_improvement,Verified,Current,20000,20000,19708.35973,39000,11.99,444.79,15.35,0,0,5,0,0,11,25752.82,25355.03,19095.74,6657.08,444.79,0
36 months,MORTGAGE,credit_card,Not Verified,Fully Paid,5125,5125,806.2404957,65000,10.71,167.09,6.77,0,2,6,0,11817,9,6014.942565,870,5124.99,889.95,167.44,0
36 months,MORTGAGE,home_improvement,Source Verified,Fully Paid,4000,4000,4000,35000,9.63,128.38,1.37,0,2,6,1,1180,12,4600.818715,4600.82,4000,600.82,883.45,0
60 months,MORTGAGE,other,Not Verified,Charged Off,3500,3500,3500,116004,17.99,88.86,19.2,0,1,17,0,31157,43,4615.64,4615.64,2674.41,1756.71,88.86,1
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,12000,12000,4047.85,90000,16.95,427.53,16.53,0,3,7,0,15534,10,15390.71497,5073.22,12000,3390.72,430.38,0
60 months,MORTGAGE,credit_card,Not Verified,Fully Paid,20000,20000,19750.64927,74276.8,18.3,511.14,3.55,0,0,3,1,8542,17,27179.14443,26664.04,20000,7179.14,13401.39,0
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,5600,5600,5450,43000,7.51,174.23,20.51,0,2,9,0,8514,26,6071.215355,5908.59,5600,471.22,3263.76,0
60 months,MORTGAGE,debt_consolidation,Source Verified,Fully Paid,25000,25000,24900,137496,18.3,638.93,13.02,0,0,8,0,38090,14,37626.34027,37475.83,25000,12626.34,7641.49,0
